run,Selection_Threshold,VIF_Threshold,PCA_n_Components,colinearity_threshold,train_f1_macro,test_f1_macro,test_balanced_accuracy,test_f1_weighted,precision_weighted,recall_weighted
1,0.014,25,70,0.8,0.9964,0.9146,0.913,0.9346,0.9363,0.934
2,0.014,25,70,0.8,0.9977,0.8986,0.8929,0.9237,0.9287,0.9238
3,0.014,25,70,0.8,0.9968,0.91,0.9086,0.934,0.9365,0.9329
1,0.014,25,70,0.85,0.9964,0.9142,0.913,0.9344,0.9359,0.934
2,0.014,25,70,0.85,0.9977,0.8993,0.8939,0.9235,0.9287,0.9238
3,0.014,25,70,0.85,0.9968,0.91,0.9086,0.934,0.9365,0.9329
1,0.014,25,80,0.75,0.997,0.9097,0.9083,0.9304,0.9322,0.9295
2,0.014,25,80,0.75,0.9981,0.8924,0.886,0.9183,0.9251,0.9192
3,0.014,25,80,0.75,0.9975,0.9212,0.919,0.9414,0.9429,0.9408
1,0.014,25,80,0.8,0.9967,0.9176,0.9171,0.9358,0.9372,0.9352
2,0.014,25,80,0.8,0.9977,0.8953,0.8902,0.9212,0.9268,0.9215
3,0.014,25,80,0.8,0.9972,0.9121,0.9116,0.9363,0.9388,0.9352
1,0.014,25,80,0.85,0.9964,0.918,0.9192,0.9361,0.9379,0.9352
2,0.014,25,80,0.85,0.9977,0.8978,0.893,0.9238,0.9293,0.9238
3,0.014,25,80,0.85,0.9972,0.9135,0.9135,0.9374,0.9398,0.9363
1,0.014,25,90,0.75,0.997,0.9143,0.913,0.9335,0.935,0.9329
2,0.014,25,90,0.75,0.9985,0.8932,0.8876,0.9182,0.9247,0.9192
3,0.014,25,90,0.75,0.997,0.9181,0.9156,0.9381,0.9395,0.9374
1,0.014,25,90,0.8,0.9967,0.9158,0.915,0.9346,0.936,0.934
2,0.014,25,90,0.8,0.9983,0.8929,0.8875,0.9186,0.9244,0.9192
3,0.014,25,90,0.8,0.9968,0.9115,0.9111,0.9352,0.9377,0.934
1,0.014,25,90,0.85,0.9967,0.9177,0.9178,0.9358,0.9373,0.9352
2,0.014,25,90,0.85,0.9983,0.8937,0.8884,0.9197,0.9255,0.9204
3,0.014,25,90,0.85,0.9968,0.9115,0.9111,0.9352,0.9377,0.934
1,0.014,25,100,0.75,0.997,0.9133,0.9108,0.9323,0.9341,0.9317
2,0.014,25,100,0.75,0.9985,0.9001,0.8959,0.9229,0.9287,0.9238
3,0.014,25,100,0.75,0.997,0.9172,0.9151,0.9381,0.9395,0.9374
1,0.014,25,100,0.8,0.9967,0.9159,0.9133,0.9345,0.9361,0.934
2,0.014,25,100,0.8,0.9981,0.8962,0.8913,0.9209,0.9262,0.9215
3,0.014,25,100,0.8,0.9968,0.9147,0.9141,0.9386,0.9412,0.9374
1,0.014,25,100,0.85,0.9967,0.9177,0.916,0.9357,0.9373,0.9352
2,0.014,25,100,0.85,0.9981,0.8962,0.8913,0.9209,0.9262,0.9215
3,0.014,25,100,0.85,0.9968,0.916,0.9159,0.9398,0.9428,0.9386
1,0.014,20,40,0.75,0.9968,0.911,0.9089,0.9323,0.9341,0.9317
2,0.014,20,40,0.75,0.9971,0.899,0.896,0.9233,0.9299,0.9238
3,0.014,20,40,0.75,0.9966,0.9143,0.9134,0.938,0.9393,0.9374
1,0.014,20,40,0.8,0.9961,0.9145,0.9132,0.9347,0.9368,0.934
2,0.014,20,40,0.8,0.997,0.8926,0.8897,0.92,0.9261,0.9204
3,0.014,20,40,0.8,0.9958,0.9065,0.9055,0.9316,0.9335,0.9306
1,0.014,20,40,0.85,0.9961,0.9116,0.9112,0.9324,0.934,0.9317
2,0.014,20,40,0.85,0.997,0.8926,0.8897,0.92,0.9261,0.9204
3,0.014,20,40,0.85,0.9958,0.9056,0.9052,0.9317,0.9336,0.9306
1,0.014,20,50,0.75,0.9968,0.9058,0.9036,0.9295,0.9316,0.9295
2,0.014,20,50,0.75,0.9975,0.8973,0.8938,0.9215,0.9262,0.9215
3,0.014,20,50,0.75,0.9967,0.9142,0.9135,0.9358,0.9373,0.9352
1,0.014,20,50,0.8,0.9965,0.9088,0.9078,0.931,0.9327,0.9306
2,0.014,20,50,0.8,0.9974,0.8943,0.8912,0.9213,0.9269,0.9215
3,0.014,20,50,0.8,0.9958,0.907,0.9065,0.9326,0.9344,0.9317
1,0.014,20,50,0.85,0.9965,0.9066,0.9058,0.929,0.9311,0.9283
2,0.014,20,50,0.85,0.997,0.8964,0.8939,0.9225,0.9273,0.9226
3,0.014,20,50,0.85,0.9958,0.9073,0.9062,0.9327,0.9344,0.9317
