,experiment_number,Selection Threshold,VIFThreshold,PCA_n_Components,train_f1_macro,test_f1_macro,test_balanced_accuracy,test_f1_weighted,precision_weighted,recall_weighted
25,1,0.014,15,80,0.9805764755717367,0.8824734281029087,0.8866025970742482,0.9133670069744322,0.9156541293653427,0.9124004550625711
26,1,0.014,15,90,0.9832935688253124,0.8827580199497637,0.8859965962508075,0.9156699564967532,0.9183087141475491,0.9146757679180887
27,1,0.014,15,100,0.9856866056779648,0.8821818192800419,0.8847726612361727,0.915906338208424,0.9184524809856228,0.9146757679180887
28,2,0.014,30,40,0.952398345098312,0.8998724456307247,0.9006190279924028,0.9223310842543848,0.9239045258814828,0.9215017064846417
29,2,0.014,30,50,0.9623828623173101,0.8980274323343292,0.8988593497621363,0.9200110638717167,0.9215435257762282,0.919226393629124
30,2,0.014,30,60,0.9683719665665523,0.8996867361218148,0.9009961018988886,0.9213422434938386,0.9231260534777004,0.9203640500568828
31,2,0.014,30,70,0.9750957539717533,0.9005621595539471,0.9007771289526428,0.9233308088753632,0.9247327441022857,0.9226393629124005
32,2,0.014,30,80,0.9775968576387223,0.9062777041820553,0.9082054849104104,0.9259402083937045,0.9278177968293988,0.9249146757679181
33,2,0.014,30,90,0.980668021397449,0.9018887686306923,0.9030772797822054,0.9235852430848611,0.925138792693412,0.9226393629124005
34,2,0.014,30,100,0.9828856450696359,0.9046593628822435,0.9048369580124719,0.9258767816647763,0.9275964556137765,0.9249146757679181
35,2,0.014,25,40,0.9489450905518049,0.89910546802581,0.9046338782639377,0.9206317746952563,0.9243582215501265,0.919226393629124
36,2,0.014,25,50,0.9608093421821418,0.9040544688073288,0.9066010208230464,0.9246518953952438,0.9268903772918766,0.9237770193401593
37,2,0.014,25,60,0.9690405810575269,0.9025655567806325,0.9039319806369062,0.923761460233894,0.9255749138978316,0.9226393629124005
38,2,0.014,25,70,0.9732137894018981,0.9032920676860794,0.9043301005288702,0.9246453138353569,0.9260504683766348,0.9237770193401593
39,2,0.014,25,80,0.9767775577513167,0.905373110560126,0.9071873853628992,0.9249061944551316,0.9270491796653906,0.9237770193401593
40,2,0.014,25,90,0.9805891041066064,0.9053387213220913,0.9071873853628992,0.9260348865841377,0.9280507136590768,0.9249146757679181
41,2,0.014,25,100,0.9841762217732852,0.9076810335497579,0.9082557614312753,0.9279929670307913,0.9295197855133767,0.9271899886234357
42,2,0.014,20,40,0.9500514945479517,0.9011237935423174,0.9054330048652031,0.9216369675357879,0.9242911046245834,0.9203640500568828
43,2,0.014,20,50,0.9636756320513253,0.8958504304354651,0.8969353596867968,0.9181154130052219,0.9204525048032515,0.9169510807736063
44,2,0.014,20,60,0.970029571522588,0.8986930252133851,0.8983764250813505,0.9212954289618946,0.9232332520190937,0.9203640500568828
45,2,0.014,20,70,0.9765819755035319,0.9026107803013919,0.9027002058757196,0.9245465867544963,0.926247198506641,0.9237770193401593
46,2,0.014,20,80,0.9803082189488231,0.9036020066361284,0.9037685819440958,0.9257975699156836,0.9274217698364321,0.9249146757679181
47,2,0.014,20,90,0.9824754627360288,0.9100560441775201,0.9112472144227282,0.9290339050265644,0.9304415620533117,0.9283276450511946
48,2,0.014,20,100,0.9857543138399125,0.9102017275445529,0.9103925135680273,0.9302235046580848,0.9320142210204932,0.9294653014789533
49,2,0.014,15,40,0.9536403790730694,0.8948303629132722,0.9016956248821545,0.916580109778043,0.9202096582590813,0.9158134243458476
50,2,0.014,15,50,0.9636406037384314,0.894209945508166,0.8962908988891931,0.9173447037503242,0.9189077825848848,0.9169510807736063
51,2,0.014,15,60,0.9707996038818766,0.8970060928133013,0.8985354754653204,0.9198035284515487,0.9217605270188676,0.919226393629124
52,2,0.014,15,70,0.9741602656372546,0.9025053570335404,0.9025157611974309,0.9244638986605951,0.9265595246885014,0.9237770193401593
53,2,0.014,15,80,0.976499910041951,0.899504257038052,0.8996584763634019,0.9219959631467177,0.9234038913387141,0.9215017064846417
54,2,0.014,15,90,0.9814379345287202,0.9055001578706231,0.9057208894025592,0.9264854160629321,0.9278414371961556,0.926052332195677
55,2,0.014,15,100,0.9841996947286233,0.9004612936911616,0.9012380944956876,0.9223344571873971,0.9242770814908065,0.9215017064846417
56,3,0.014,30,40,0.9532518777678647,0.8641486972017624,0.8661593521196485,0.8970692652468225,0.9011800082384736,0.8953356086461889
57,3,0.014,30,50,0.9651700005529581,0.8666653615728422,0.866983562682231,0.8985378638576548,0.9032386971535273,0.8976109215017065
58,3,0.014,30,60,0.9716888686337638,0.8714983674878873,0.8711331625635382,0.9036087759724046,0.9077938684603004,0.9032992036405005
59,3,0.014,30,70,0.975621934112174,0.8780926353465469,0.8777550476737955,0.9082032267146429,0.9137766045674636,0.9078498293515358
60,3,0.014,30,80,0.9809813873179086,0.879291876063273,0.8805469915072878,0.9081254068173598,0.9136246324593545,0.9078498293515358
61,3,0.014,30,90,0.9824880790347338,0.8757239476354024,0.8769923879526842,0.906370363329137,0.9121939121217238,0.9055745164960182
62,3,0.014,30,100,0.9852864887630075,0.8824804167677471,0.8823466780453464,0.9115464687854771,0.9167340102016556,0.9112627986348123
63,3,0.014,25,40,0.9520014256713218,0.862810444214165,0.8646925701827871,0.8942236809100621,0.8977987249286667,0.8930602957906713
64,3,0.014,25,50,0.9619781276469629,0.8651722687434831,0.8645691797977689,0.896640750840129,0.9002334569672769,0.8953356086461889
65,3,0.014,25,60,0.9714365757061759,0.8764666728113831,0.8767577431881188,0.9061388820889691,0.9095988044035068,0.9055745164960182
66,3,0.014,25,70,0.9766782152464099,0.8833452209743269,0.8860352544393144,0.9108820585227663,0.9145640196994619,0.9101251422070534
67,3,0.014,25,80,0.9795100575488943,0.8757621360137116,0.8774353951127108,0.9061187061236768,0.910592534594596,0.9055745164960182
68,3,0.014,25,90,0.9820781563133587,0.8790441195305448,0.8806698095921621,0.90964453347258,0.9137498907340009,0.9089874857792947
